Table: Table_1

,Kolam ,DOC ,Jenis Pakan ,F/D (KG) ,,,Frekuens ,Pakan ,,AN CH ,,DO ,pH ,,Suhu ,,SAL ,TDS ,MATI (KG/ ,T. AIR (CM) ,KEC (CM) ,WAR NA ,CUA CA ,RESIRK ULASI ,SIPHON (JAM) ,KINCIR (HP) ,TREATMENT AIR DAN PAKAN ,
,,,,,07. DO ,11. 00 ,15. 00 ,20. 00 ,,o ,Pagi ,Sore/ Mlm ,Pagi ,Sore/ Mlm ,Pagi ,Sore/ Mlm ,,,ekor) ,,,,,(CM) ,,,,
,A, ,6 ,5A.00 ,4. ,Og ,3 ,1.2 ,08 ,,,86 ,7.8 ,8.5 ,2c ,26 ,27 ,17 ,,,90 ,20 ,CN ,(1 ,,,2/a ,AS BB ,
,A2 ,6 ,5A.00 ,9.1 ,Od ,1.2 ,1.2 ,0.8 ,,,83 ,7.6 ,8.7 ,7.8 ,2C ,27 ,16 ,,,85 ,60 ,CM ,H ,,,214 ,CHT.Bak ,
,A3 ,6 ,SA.00 ,8.1 ,09 ,1-2 ,1.2 ,08 ,,,8.4 ,7.5 ,8.5 ,7.6 ,26 ,27 ,17 ,,,90 ,60 ,C ,It ,,,2/4 ,- AT Bak ,
,A4 ,6 ,54.00 ,4.1 ,Og ,1.2 ,1.2 ,0.8 ,,,86 ,7.9 ,8.5 ,7.6 ,2C ,27 ,18 ,,,100 ,70 ,C ,H ,,,7/4 ,-AT.BOK ,
,A5 ,C ,54.00 ,4.1 ,0.9 ,12 ,1.2 ,0.8 ,,,8.6 ,7.4 ,8.6 ,7.6 ,26 ,27 ,16 ,,,100 ,80 ,CH ,I ,,,2/4 ,- 47 - 132 1 ,
,AC ,6 ,5A.00 ,4.1 ,00 ,(.) ,1.2 ,08 ,,,8.3 ,7.2 ,8.5 ,7.5 ,26 ,27 ,16 ,,,so ,70 ,CH ,H ,,,2/4 ,AT.BAK ,
,A7 ,C ,5A.00 ,a. ,O.g ,1.2 ,1.2 ,0.8 ,,,8.8 ,7.1 ,S.a ,7.5 ,26 ,27 ,16 ,,,go ,70 ,CH ,,I ,,2/4 ,FAT - Bak ,
,A8 ,G ,5A.00 ,9.1 ,0.9 ,12 ,1.2 ,0.8 ,,,8.0 ,7.9 ,8.8 ,72 ,26 ,27 ,17 ,,,,100 50 ,,CM ,H ,,,2/4 - AT . Bak ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,





